                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.35453,                0.44903,                0.97012,                0.95757,                0.94139,                  0.964,                 0.9158,                0.33371,                0.35967,                0.98303,              0.0003268,              0.0003268,              0.0003268
                     37,                0.35564,                0.44466,                0.97348,                 0.9451,                0.96053,                0.96763,                0.91611,                0.31943,                0.34011,                0.97041,               0.000307,               0.000307,               0.000307
                     38,                0.35454,                0.44535,                0.96965,                0.96349,                0.96061,                0.96577,                0.91319,                0.31547,                0.33352,                 0.9634,              0.0002872,              0.0002872,              0.0002872
                     39,                0.34984,                0.43234,                0.96765,                0.94221,                0.95692,                0.96455,                0.92027,                0.31521,                0.33334,                0.96448,              0.0002674,              0.0002674,              0.0002674
                     40,                0.34441,                0.42685,                  0.961,                0.95653,                0.96778,                0.96394,                0.92111,                0.30668,                0.32864,                0.95785,              0.0002476,              0.0002476,              0.0002476
                     41,                0.24524,                0.29822,                 0.9721,                0.95968,                0.92244,                0.93915,                0.90016,                 0.3074,                0.33097,                0.96177,              0.0002278,              0.0002278,              0.0002278
                     42,                0.23619,                0.29147,                0.96368,                0.96112,                0.95812,                0.97252,                 0.9306,                0.30415,                0.32312,                0.95957,               0.000208,               0.000208,               0.000208
                     43,                0.23008,                0.27461,                0.96711,                0.96546,                0.95735,                0.96318,                0.92132,                0.29559,                0.31443,                0.95108,              0.0001882,              0.0001882,              0.0001882
                     44,                0.21759,                0.25254,                0.94809,                0.95436,                 0.9588,                0.96904,                 0.9306,                0.28877,                0.31415,                0.95135,              0.0001684,              0.0001684,              0.0001684
                     45,                0.21178,                0.24876,                0.94623,                0.96557,                0.95754,                0.96625,                0.92804,                0.29403,                0.31029,                0.95234,              0.0001486,              0.0001486,              0.0001486
                     46,                0.20649,                0.23809,                0.93873,                0.96426,                0.95726,                0.96859,                0.93477,                0.28131,                0.29945,                0.94372,              0.0001288,              0.0001288,              0.0001288
                     47,                0.20202,                0.23478,                0.93974,                0.96507,                0.96419,                0.96703,                0.93472,                0.27278,                 0.2902,                0.93865,               0.000109,               0.000109,               0.000109
                     48,                0.18985,                0.22233,                0.92861,                0.96679,                0.95146,                0.96434,                0.93235,                0.26973,                0.30242,                0.93698,               8.92e-05,               8.92e-05,               8.92e-05
                     49,                0.18836,                0.22046,                0.92705,                0.96429,                0.95098,                0.96415,                0.93109,                0.26929,                0.29782,                0.93743,               6.94e-05,               6.94e-05,               6.94e-05
                     50,                0.18554,                0.21539,                0.92526,                0.96171,                0.96275,                0.96769,                0.93489,                0.26422,                0.28945,                0.93295,               4.96e-05,               4.96e-05,               4.96e-05
